East,North,Value
651941.2639168515,6133569.74905,0.0
651939.1170529439,6133570.10836257,0.0
651936.9808182232,6133570.1586464085,0.0
651887.7577592878,6133568.280303186,0.0
651937.6472987898,6133567.7064067405,0.0
651939.413684766,6133568.664406983,0.0
651939.0588370254,6133566.672071977,0.0
651902.6939510365,6133568.948575631,0.0
651922.9348444045,6133567.200408462,2.0
651925.084448573,6133567.274335691,1.0
651927.1988133106,6133567.347052019,3.0
651929.3131780303,6133567.419769359,6.0
651931.4099230259,6133567.491881723,4.0
651919.8336656307,6133569.6617381545,9.0
651917.7016823626,6133569.588419398,6.0
651915.5718245339,6133569.453295713,3.0
651913.438778485,6133569.410881995,2.0
651911.2902381485,6133569.306057437,2.0
651898.3958072776,6133568.769841009,3.0
651896.2296469456,6133568.664417924,4.0
651894.1152830827,6133568.5917164115,19.0
651892.0019817654,6133568.488112929,3.0
651937.7665059306,6133565.266283627,1.0
651935.6137120805,6133565.285059173,1.0
651912.0604030091,6133564.351278682,2.0
651909.9118602097,6133564.246454837,9.0
651907.7456976437,6133564.14102614,30.0
651905.5960920891,6133564.067107376,12.0
651903.4299294399,6133563.961680798,6.0
651889.8721232497,6133568.353001653,0.0
651939.8017258535,6133564.562795461,0.0
651941.2799425147,6133563.128540766,0.0
651939.85033342,6133564.688225438,0.0
651922.7534454586,6133564.780886805,2.0
651920.6049028576,6133564.676057753,5.0
651918.4729171767,6133564.602738664,3.0
651916.3233117608,6133564.528814674,3.0
651914.1934514778,6133564.393691695,5.0
651930.6546344024,6133562.26806413,9.0
651932.7524447006,6133562.309274113,1.0
651933.4849151322,6133565.119023901,1.0
651931.3187529689,6133565.013583637,7.0
651929.1680848278,6133564.970556368,7.0
651927.0360992211,6133564.897233143,1.0
651924.8864938798,6133564.823304984,2.0
651909.3865608427,6133561.567591946,5.0
651911.5196106143,6133561.610003643,3.0
651913.6505349716,6133561.714222331,2.0
651915.7825220085,6133561.78753907,3.0
651917.9155717695,6133561.829953859,1.0
651899.1504631491,6133563.752648417,2.0
651896.9832377556,6133563.678127987,2.0
651894.8523143628,6133563.5739173265,5.0
651892.7037712024,6133563.469101859,7.0
651934.8203298616,6133562.1947582,0.0
651936.7911643975,6133562.85039362,0.0
651937.464636558,6133560.707789708,0.0
651901.2990061779,6133563.8574670255,0.0
651921.4043887443,6133559.381953652,2.0
651919.254780764,6133559.308028279,2.0
651917.1238552388,6133559.203806905,1.0
651914.974247206,6133559.129883616,3.0
651912.8246391545,6133559.055961373,2.0
651898.6727034033,6133561.2301194,3.0
651900.8046905549,6133561.303428903,4.0
651902.9366776878,6133561.376739438,6.0
651905.1049669116,6133561.420359791,9.0
651907.2535110826,6133561.525181277,7.0
651890.1853068133,6133560.783588418,6.0
651892.317294113,6133560.856893823,5.0
651894.4482188157,6133560.961103237,8.0
651896.5593985552,6133561.126513794,9.0
651888.4814137635,6133563.138285409,1.0
651886.3430524613,6133563.250399736,1.0
651884.5470801571,6133564.178714512,2.0
651885.3582967469,6133562.133658447,1.0
651920.0475587844,6133561.903272657,6.0
651922.1971655079,6133561.977198437,3.0
651924.3115327589,6133562.049913341,2.0
651926.4258999914,6133562.122629258,1.0
651928.5578869327,6133562.195952167,2.0
651888.0751893597,6133560.587277928,0.0
651890.5717851606,6133563.395796248,0.0
651885.2864023664,6133560.120118106,8.0
651884.5604524385,6133558.14596898,18.0
651883.4031278514,6133556.404504676,39.0
651884.556202406,6133558.269580912,23.0
651910.6760937751,6133558.951137197,5.0
651908.5088659325,6133558.87661115,31.0
651906.3592578096,6133558.802692055,11.0
651904.2283320526,6133558.698476909,3.0
651902.0600415075,6133558.654857008,4.0
651938.3794712496,6133558.728185014,1.0
651938.3047407491,6133558.849372848,1.0
651934.2459884548,6133559.916418808,2.0
651932.0995691547,6133559.749778248,2.0
651929.9686438304,6133559.645550672,2.0
651927.8366556468,6133559.572227104,3.0
651925.6849221154,6133559.560104553,1.0
651923.5353141875,6133559.486177093,1.0
651886.6476387815,6133558.496186868,2.0
651885.6210909145,6133556.542641771,7.0
651884.540620311,6133554.618182506,24.0
651882.8334519605,6133553.476603986,61.0
651886.1294050517,6133559.715949303,0.0
651940.0979882936,6133557.487832018,0.0
651936.3886052324,6133559.680715707,0.0
651888.7138417439,6133557.917498818,0.0
651899.9467354225,6133558.551249801,2.0
651897.7795074703,6133558.476729021,8.0
651895.6309618242,6133558.371912172,9.0
651892.9714436666,6133558.24952708,11.0
651890.8394551033,6133558.176221381,1.0
651884.462703751,6133554.832080176,18.0
651890.6622881021,6133555.6330894325,8.0
651892.7932153267,6133555.737298008,7.0
651894.9065227533,6133555.840901769,3.0
651897.0198301321,6133555.944506542,1.0
651899.1507572125,6133556.048718186,3.0
651901.3003666182,6133556.122633751,1.0
651903.449976005,6133556.196550361,8.0
651905.5995853731,6133556.270468017,24.0
651907.7491947223,6133556.344386721,58.0
651909.9164238013,6133556.418912375,8.0
651912.0484133646,6133556.49222727,3.0
651914.1980226577,6133556.566149114,1.0
651901.0580394901,6133553.422562914,2.0
651898.9260485325,6133553.34925335,1.0
651896.7411982757,6133553.274127262,3.0
651894.5915875203,6133553.20021394,21.0
651892.4606590683,6133553.096004517,10.0
651886.4106156174,6133555.641602059,0.0
651888.5612876542,6133555.684608436,0.0
651942.0844816865,6133559.226892012,1.0
651941.9295016304,6133555.013784777,3.0
651927.8346445976,6133557.066056048,1.0
651929.9666339909,6133557.139379595,6.0
651936.2921230741,6133557.35693238,2.0
651933.2077221365,6133554.713807764,1.0
651928.9624235126,6133554.5368616115,3.0
651926.8138759157,6133554.432029619,3.0
651924.6642654829,6133554.358101651,2.0
651939.6053701746,6133555.397939884,1.0
651911.838144224,6133553.886076497,3.0
651909.6895963277,6133553.781252841,5.0
651907.5223659562,6133553.70672732,22.0
651905.3748806289,6133553.571002788,8.0
651903.207650189,6133553.496479385,6.0
651938.4604147713,6133557.400569073,0.0
651940.5236013616,6133557.935624313,0.0
651941.5358167959,6133557.22789047,0.0
651932.0799407789,6133557.243001159,0.0
651934.1766906276,6133557.315114757,0.0
651931.0933513036,6133554.64108866,0.0
651943.1498030031,6133553.385022342,0.0
651941.7356843116,6133555.007118436,0.0
651937.4776313717,6133555.200999793,0.0
651935.3717636351,6133554.881054828,0.0
651922.5498945471,6133554.28538664,4.0
651920.382664319,6133554.210854802,7.0
651918.2517363305,6133554.106632926,6.0
651916.1363025974,6133554.064823965,7.0
651913.9701350252,6133553.959392298,1.0
651890.3131733536,6133552.960287315,12.0
651888.1833073212,6133552.825176978,1.0
651884.5994117474,6133554.960538529,17.0
651883.5115027749,6133553.25240041,40.0
651916.347631932,6133556.640072005,2.0
651919.2901298427,6133556.741263233,1.0
651921.4221193248,6133556.814582654,2.0
651923.5706657557,6133556.919412041,3.0
651925.7202749331,6133556.993339497,1.0
651881.9900936529,6133551.838753374,6.0
651884.0416008448,6133552.713714903,10.0
651886.1704044386,6133552.879726225,1.0
651888.3045205864,6133552.8912236625,2.0
651886.0491911441,6133552.813679597,1.0
651882.4752123962,6133550.555972917,27.0
651884.6441262886,6133551.094636667,12.0
651886.7680611422,6133550.889206664,3.0
651888.8941213152,6133550.621971716,2.0
651891.00955629,6133550.663767606,8.0
651886.1523416403,6133553.405076929,0.0
651918.6497694,6133549.200936539,4.0
651916.4990937586,6133549.157915567,3.0
651914.3339864893,6133549.021580784,3.0
651912.1833108255,6133548.978561913,20.0
651910.0358232213,6133548.842835151,64.0
651903.8709255966,6133551.136943878,11.0
651906.0370945437,6133551.242370568,33.0
651908.2032634414,6133551.347798321,41.0
651910.3539378936,6133551.390815274,21.0
651912.5035496559,6133551.464736252,3.0
651938.1079758138,6133553.799461386,2.0
651942.211049711,6133549.3924734,5.0
651884.0794081572,6133552.127164029,27.0
651882.0274581593,6133551.7781589925,7.0
651884.0276113675,6133552.094443645,25.0
651886.1084255301,6133552.630079129,1.0
651884.5528399312,6133551.184316602,26.0
651914.6344789152,6133551.568955334,4.0
651916.8027731242,6133551.61258135,7.0
651918.9337023163,6133551.716802509,3.0
651921.0833139886,6133551.790727666,2.0
651923.2153058747,6133551.864047913,1.0
651936.3885144603,6133552.502741065,0.0
651938.9202820067,6133551.723511769,0.0
651940.3125292115,6133550.224420659,0.0
651940.109595056,6133549.969924562,2.0
651935.843483441,6133549.88507477,2.0
651933.6970592685,6133549.718433514,2.0
651931.5650662633,6133549.645108225,1.0
651893.1415484813,6133550.737073328,7.0
651895.2900978432,6133550.841888906,34.0
651897.4231525778,6133550.884293713,4.0
651899.5903842526,6133550.958814258,3.0
651901.7389335133,6133551.063632975,2.0
651925.3649175097,6133551.937975154,3.0
651928.0255023763,6133552.029476714,3.0
651930.1574942024,6133552.102800315,3.0
651932.254246476,6133552.17491296,8.0
651929.4143906443,6133549.602080961,5.0
651927.2471580626,6133549.527545795,2.0
651925.1162278051,6133549.423320642,3.0
651922.9666149481,6133549.34939354,2.0
651920.7993822948,6133549.274861539,4.0
651943.3723615888,6133542.811356531,1.0
651938.5461669096,6133539.520468528,2.0
651937.9701619719,6133550.112917006,0.0
651934.3376303805,6133552.122808692,0.0
651942.5220319696,6133540.863858273,0.0
651940.6386736482,6133539.716196957,0.0
651936.4254115773,6133539.633164843,0.0
